날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2021-01-04,25900,25900,25200,25250,92861,2353486200,0.4
2021-01-05,25200,25200,24750,25050,88941,2213739350,-0.79
2021-01-06,25050,25550,24900,24900,66138,1661530550,-0.6
2021-01-07,24950,25250,24850,25200,94211,2363825950,1.2
2021-01-08,25200,25750,25000,25350,132698,3364855400,0.6
2021-01-11,25350,25350,24400,24800,130502,3233403100,-2.17
2021-01-12,24600,25300,24250,25000,125264,3124306700,0.81
2021-01-13,25400,25550,24800,25400,119375,3012937900,1.6
2021-01-14,25300,27700,25100,27550,488750,13069670700,8.46
2021-01-15,27350,27900,25800,26300,251891,6694595900,-4.54
2021-01-18,25600,25800,24500,25200,143803,3621032050,-4.18
2021-01-19,24900,25700,24850,25650,80470,2038904200,1.79
2021-01-20,25700,25850,24900,25650,109181,2768878600,0.0
2021-01-21,25750,26150,25550,25850,96709,2495066800,0.78
2021-01-22,25750,29550,25600,29100,727088,20462325950,12.57
2021-01-25,29000,31100,29000,30100,386257,11554067000,3.44
2021-01-26,30100,30200,29000,29950,170870,5057877250,-0.5
2021-01-27,29750,29800,28650,28800,158724,4606720550,-3.84
2021-01-28,28000,29250,27500,29100,141577,4033187500,1.04
2021-01-29,29250,30950,27650,28950,371781,10968267000,-0.52
2021-02-01,28250,29050,27650,28500,149298,4243081850,-1.55
2021-02-02,29300,30800,29200,29300,248760,7447531500,2.81
2021-02-03,30050,30450,29650,30100,152681,4580325900,2.73
2021-02-04,30100,32850,29650,32450,534784,17023932200,7.81
2021-02-05,32100,33000,31300,32400,254743,8164238250,-0.15
2021-02-08,32150,32800,31400,32700,155247,5000190950,0.93
2021-02-09,33050,33350,31850,32600,219701,7146594200,-0.31
2021-02-10,32300,32600,31800,32600,103745,3332402550,0.0
2021-02-15,32300,32550,31750,32000,124026,3961693450,-1.84
2021-02-16,31600,31800,30500,30700,179150,5547277600,-4.06
2021-02-17,30800,31450,30500,30800,144024,4461622900,0.33
2021-02-18,31200,31200,30200,30300,102950,3151225350,-1.62
2021-02-19,30300,30750,29500,30250,101795,3059600300,-0.17
2021-02-22,30400,31200,29850,30900,76227,2340682450,2.15
2021-02-23,30800,32200,30100,31650,186252,5867077750,2.43
2021-02-24,32450,34150,31000,31000,505446,16603288900,-2.05
2021-02-25,32100,32150,31100,31650,71368,2255933500,2.1
2021-02-26,30650,31500,30200,31250,129822,4016595900,-1.26
2021-03-02,31800,32000,30150,30200,122934,3799624350,-3.36
2021-03-03,30400,31550,29900,31400,96031,2981767450,3.97
2021-03-04,31000,31750,30750,31150,77512,2420106350,-0.8
2021-03-05,30500,32200,30500,31100,48438,1498361250,-0.16
2021-03-08,31150,31200,29000,29600,179524,5361126450,-4.82
2021-03-09,29800,29900,28850,29450,60423,1780005950,-0.51
2021-03-10,29550,30000,28500,28650,59629,1744039400,-2.72
2021-03-11,28700,28850,28000,28650,73755,2100086100,0.0
2021-03-12,28600,29400,28400,28700,63326,1819330000,0.17
2021-03-15,29100,30100,28900,29650,103074,3052200350,3.31
2021-03-16,30300,30300,29500,30050,60418,1808562750,1.35
2021-03-17,29900,30350,29650,30050,51870,1559383400,0.0
2021-03-18,30500,30600,29850,30250,55113,1665191350,0.67
2021-03-19,29600,30150,29600,30100,37786,1130363550,-0.5
2021-03-22,29800,30050,29500,29750,48707,1451455700,-1.16
2021-03-23,29950,29950,28800,28800,58309,1708718650,-3.19
2021-03-24,28400,29050,28350,29000,38478,1105725450,0.69
2021-03-25,29000,29000,28350,28750,38539,1102767350,-0.86
2021-03-26,28650,29100,28350,28900,47200,1354812200,0.52
2021-03-29,28650,28900,27500,27650,108509,3030946200,-4.33
2021-03-30,27850,27850,27450,27750,39604,1095917200,0.36
2021-03-31,27750,27750,26700,26700,97894,2654226200,-3.78
2021-04-01,26800,27450,26750,26900,34663,936083050,0.75
2021-04-02,27000,27300,26500,26650,42994,1150341900,-0.93
2021-04-05,26800,26800,25700,26200,92918,2420138950,-1.69
2021-04-06,26500,26650,26200,26400,37288,985237750,0.76
2021-04-07,26450,28000,26400,27900,100427,2767270550,5.68
2021-04-08,28100,29100,27350,28800,140815,4020971350,3.23
2021-04-09,28800,29300,28400,29050,60940,1766246950,0.87
2021-04-12,28950,29200,28500,28950,51627,1491283100,-0.34
2021-04-13,28900,29450,28900,29000,51872,1510992200,0.17
2021-04-14,29350,30100,28950,29500,80559,2378514600,1.72
2021-04-15,29700,29850,28950,29500,39794,1169276500,0.0
2021-04-16,29650,30200,29100,29750,61960,1842860800,0.85
2021-04-19,29750,29850,28900,29200,59315,1734127450,-1.85
2021-04-20,29150,29400,28500,29200,40561,1177926300,0.0
2021-04-21,28950,29450,28600,28650,45651,1314379350,-1.88
2021-04-22,28700,29000,28400,28450,27445,783135850,-0.7
2021-04-23,28250,28700,28100,28300,27545,781869000,-0.53
2021-04-26,28200,29100,28100,28900,41001,1179826300,2.12
2021-04-27,29150,29300,28650,29050,27285,789764750,0.52
2021-04-28,29100,29400,28450,28650,47043,1356820550,-1.38
2021-04-29,28950,30700,28600,30250,207176,6207923850,5.58
2021-04-30,30250,31500,29900,31100,185154,5755819950,2.81
2021-05-03,31450,31550,30100,30250,109871,3379968750,-2.73
2021-05-04,30600,30750,29050,30000,119006,3520916700,-0.83
2021-05-06,30000,32550,29800,32300,197213,6244282850,7.67
2021-05-07,32300,33400,31800,32900,151877,4968150250,1.86
2021-05-10,32800,35000,32700,34700,187137,6390409300,5.47
2021-05-11,34500,35500,34150,35050,118116,4108923750,1.01
2021-05-12,34900,35650,32750,33200,198196,6683543100,-5.28
2021-05-13,32650,34250,32050,33600,116263,3885682150,1.2
2021-05-14,34000,34500,33300,33500,92685,3134939350,-0.3
2021-05-17,33750,35150,33200,34900,124814,4306753650,4.18
2021-05-18,35000,35100,33800,34600,98239,3373487250,-0.86
2021-05-20,34800,35100,33900,35000,65749,2276759650,1.16
2021-05-21,35200,35200,33300,33550,88794,3020147450,-4.14
2021-05-24,33550,33750,32500,33200,28004,931493000,-1.04
2021-05-25,33050,34200,33050,33550,39663,1337944550,1.05
2021-05-26,33550,34600,33350,34450,43610,1490973800,2.68
2021-05-27,34700,35650,34400,35650,146182,5139163750,3.48
2021-05-28,35850,35900,35150,35600,64025,2280485850,-0.14
2021-05-31,35600,35900,34500,35400,69765,2460513500,-0.56
2021-06-01,35500,35600,34150,34400,103691,3580613850,-2.82
2021-06-02,34400,36650,34300,36450,197787,7067376400,5.96
2021-06-03,36950,38050,36300,36300,115028,4265964800,-0.41
2021-06-04,36350,36500,35550,35900,67125,2408190500,-1.1
2021-06-07,35900,35900,34500,34800,105486,3674687500,-3.06
2021-06-08,34600,35200,34100,34250,85396,2957853650,-1.58
2021-06-09,34300,35250,34250,35250,61995,2164609850,2.92
2021-06-10,35250,35900,34900,35600,69442,2471358350,0.99
2021-06-11,35300,35550,34750,34800,43134,1508061200,-2.25
2021-06-14,35350,35350,34300,34400,28837,995057350,-1.15
2021-06-15,34450,34450,33700,34000,38013,1289023200,-1.16
2021-06-16,34000,34300,33550,34000,50167,1695213950,0.0
2021-06-17,34000,34250,33700,34050,23456,797471750,0.15
2021-06-18,34250,34300,33650,33950,37012,1251422700,-0.29
2021-06-21,33700,33700,32750,32750,60929,2009591800,-3.53
2021-06-22,33000,33450,32800,33250,24751,819795450,1.53
2021-06-23,33550,33600,32000,32800,49457,1607606250,-1.35
2021-06-24,32700,32700,30450,32100,60615,1931807750,-2.13
2021-06-25,31950,32450,31900,31900,25268,814161650,-0.62
2021-06-28,31950,32300,31350,32000,52290,1656525000,0.31
2021-06-29,32000,32450,31750,32200,25787,830404350,0.63
2021-06-30,32200,32700,32000,32600,24101,780836400,1.24
2021-07-01,32900,33050,32050,32750,27937,913926300,0.46
2021-07-02,32750,32900,31750,32150,30822,992429100,-1.83
2021-07-05,31850,32400,31500,31900,23600,749578550,-0.78
2021-07-06,31750,32350,31750,31900,15028,481210900,0.0
2021-07-07,31850,31850,31050,31200,33804,1059236550,-2.19
2021-07-08,30600,31000,28650,29100,160146,4727160600,-6.73
2021-07-09,28800,28800,26900,27650,183851,5052245650,-4.98
2021-07-12,27850,28850,27700,28550,65002,1834330800,3.25
2021-07-13,28850,29200,28550,29050,29273,843807050,1.75
2021-07-14,28800,28900,28100,28500,31917,912314050,-1.89
2021-07-15,28850,29100,28400,29100,28262,816975800,2.11
2021-07-16,29100,29750,28900,29700,37746,1112607850,2.06
2021-07-19,29600,29650,28500,29050,25052,730001650,-2.19
2021-07-20,28750,29050,28200,28700,40260,1149753450,-1.2
2021-07-21,29400,29400,28550,28650,19057,548330100,-0.17
2021-07-22,28650,29000,28650,28900,19133,550565900,0.87
2021-07-23,28900,28950,28500,28500,17589,503255100,-1.38
2021-07-26,28500,28700,27700,27900,31996,897928750,-2.11
2021-07-27,28000,28450,28000,28400,22810,643940150,1.79
2021-07-28,28200,28400,27900,28000,31965,897149750,-1.41
2021-07-29,28000,28350,27750,27950,29356,819811200,-0.18
2021-07-30,27950,28050,27550,27800,12817,355228450,-0.54
2021-08-02,27600,27900,27100,27200,31713,868847200,-2.16
2021-08-03,27350,27550,26500,26850,29189,782591150,-1.29
2021-08-04,26850,28150,26650,27850,32445,892874500,3.72
2021-08-05,27900,28100,27550,27700,18884,526097000,-0.54
2021-08-06,28400,29500,28200,28750,90955,2619427000,3.79
2021-08-09,28700,29000,28000,28450,35182,997973100,-1.04
2021-08-10,28450,28450,27450,27750,31327,870335450,-2.46
2021-08-11,27750,27950,27450,27700,16931,467472400,-0.18
2021-08-12,27500,28450,27500,27650,12702,354114200,-0.18
2021-08-13,27650,27800,26550,27250,31204,842407400,-1.45
2021-08-17,27150,27150,25600,25600,49668,1295458250,-6.06
2021-08-18,25250,26150,25250,25850,17146,441758500,0.98
2021-08-19,25500,25850,24450,24600,43667,1090535100,-4.84
2021-08-20,24750,25050,23500,24300,45807,1112357250,-1.22
2021-08-23,24250,25600,24050,24850,44058,1092100900,2.26
2021-08-24,25350,25900,25150,25400,41104,1050147150,2.21
2021-08-25,25600,25800,25200,25700,27786,708124850,1.18
2021-08-26,25850,26650,25700,26250,48828,1278782050,2.14
2021-08-27,26000,26550,25600,26300,19120,498606300,0.19
2021-08-30,26350,27400,26100,27300,56037,1499906350,3.8
2021-08-31,27450,27700,27150,27500,37746,1036582500,0.73
2021-09-01,27500,27950,27250,27500,28064,775667050,0.0
2021-09-02,27750,27800,27300,27500,11222,308114750,0.0
2021-09-03,27500,27800,27450,27650,11245,310330950,0.55
2021-09-06,27600,27900,27250,27400,16052,439843600,-0.9
2021-09-07,27400,27600,27200,27600,11034,301138500,0.73
2021-09-08,27600,27600,27100,27400,9711,264881100,-0.72
2021-09-09,27250,27450,27000,27100,11764,320061150,-1.09
2021-09-10,27000,27450,26700,27150,9960,269351950,0.18
2021-09-13,27000,27200,26250,27150,21725,581595350,0.0
2021-09-14,26850,27950,26850,27700,35745,987022450,2.03
2021-09-15,27800,27850,27250,27550,16151,445248750,-0.54
2021-09-16,27900,27900,27100,27250,11720,320572100,-1.09
2021-09-17,27400,27600,27100,27100,29149,794426550,-0.55
2021-09-23,26700,27400,26550,27000,27216,733882900,-0.37
2021-09-24,27350,28100,27100,27700,38320,1063511950,2.59
2021-09-27,27800,27950,27050,27300,21653,596424100,-1.44
2021-09-28,27450,27450,26750,27050,19065,513768600,-0.92
2021-09-29,26500,27000,26500,26700,11045,293945700,-1.29
2021-09-30,26700,27500,26650,26950,11868,320974850,0.94
2021-10-01,27100,27100,25000,26800,27891,735033250,-0.56
2021-10-05,26900,27300,26300,27250,38909,1046966300,1.68
2021-10-06,26950,27500,25800,26300,29122,772476400,-3.49
2021-10-07,26300,26800,26300,26400,12902,340732150,0.38
2021-10-08,26350,26850,25950,26300,13620,356361500,-0.38
2021-10-12,26000,26400,25850,26200,16132,420684550,-0.38
2021-10-13,25900,26600,25900,26350,11577,304517300,0.57
2021-10-14,26350,26650,26350,26600,15737,417246650,0.95
2021-10-15,26950,27000,26550,27000,11921,318889900,1.5
2021-10-18,27350,27500,26450,27100,34006,922104000,0.37
2021-10-19,27050,27300,26800,26800,14665,395938400,-1.11
2021-10-20,27000,27000,26150,26500,20692,546758400,-1.12
2021-10-21,26300,26750,26100,26250,15855,416222750,-0.94
2021-10-22,26200,26350,26000,26250,10766,281383550,0.0
2021-10-25,26400,27100,25900,27000,23253,622684550,2.86
2021-10-26,27350,27600,27050,27600,28593,783041400,2.22
2021-10-27,28000,28000,27200,27550,17701,487332600,-0.18
2021-10-28,27650,27650,27000,27050,24515,667128450,-1.81
2021-10-29,27150,27250,26250,26500,20592,545276200,-2.03
2021-11-01,26500,26650,26250,26350,7780,205551700,-0.57
2021-11-02,26350,26800,26250,26450,11727,310497100,0.38
2021-11-03,26600,26600,25750,25900,21216,551427550,-2.08
2021-11-04,26000,26350,25350,25700,19361,496417150,-0.77
2021-11-05,25850,25850,24700,25450,20225,508366000,-0.97
2021-11-08,25700,25950,25300,25850,13383,344103900,1.57
2021-11-09,26100,26100,25450,25650,9135,234338150,-0.77
2021-11-10,25650,25650,24850,25150,23170,579402850,-1.95
2021-11-11,24600,25300,24300,24600,20811,511256350,-2.19
2021-11-12,24300,24850,23950,24500,46258,1123881850,-0.41
2021-11-15,24400,24550,23950,24200,31234,754539200,-1.22
2021-11-16,24400,24650,23950,24450,32468,786853350,1.03
2021-11-17,24350,24350,23650,23800,28231,672376400,-2.66
2021-11-18,23800,24100,23600,24000,12043,287083550,0.84
2021-11-19,24000,24000,23250,23500,19269,452555800,-2.08
2021-11-22,23650,23750,22800,22800,31032,712252100,-2.98
2021-11-23,22500,23400,22150,22500,36271,813350150,-1.32
2021-11-24,22500,22500,21450,21600,66573,1444158500,-4.0
2021-11-25,21600,21600,20950,21350,61774,1306878550,-1.16
2021-11-26,21000,21250,19900,20300,85678,1744863050,-4.92
2021-11-29,19500,20300,19150,20100,51924,1027863250,-0.99
2021-11-30,19900,20300,18700,18950,44817,868414450,-5.72
2021-12-01,18950,19300,18550,19050,57400,1080361050,0.53
2021-12-02,19000,19450,18600,19400,62277,1188613750,1.84
2021-12-03,19700,20900,19650,20450,45084,913816200,5.41
2021-12-06,20200,20800,20100,20750,12196,249658050,1.47
2021-12-07,20900,21050,20550,20850,18980,394739450,0.48
2021-12-08,20900,21300,20400,20500,27567,574319000,-1.68
2021-12-09,20700,20950,20600,20700,18581,385681750,0.98
2021-12-10,20700,20950,20500,20800,10532,218476350,0.48
2021-12-13,20650,20800,20300,20350,38361,784993100,-2.16
2021-12-14,20250,20500,20000,20200,14114,285144200,-0.74
2021-12-15,20100,20350,19900,20200,34684,694240750,0.0
2021-12-16,20250,20350,19650,19950,29155,580256500,-1.24
2021-12-17,19800,20550,19800,20350,21550,437168200,2.01
2021-12-20,20350,20350,19900,19950,19327,386215350,-1.97
2021-12-21,20000,20200,19250,20150,33513,661842150,1.0
2021-12-22,20350,20500,19950,20000,12598,254265950,-0.74
2021-12-23,20150,20250,19800,20000,18525,370011700,0.0
2021-12-24,20000,20200,19750,19800,42327,842888500,-1.0
2021-12-27,19950,19950,19600,19750,15123,298660100,-0.25
2021-12-28,20000,20000,19250,19350,52509,1019105850,-2.03
2021-12-29,19350,19600,19200,19400,27699,536530400,0.26
2021-12-30,19500,19600,19150,19300,14993,289853350,-0.52
